model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_3_inact,0,kon_0,Log10,18,1.255272505103306
scheme_3_inact,1,koff_0,Log10,0.017,-1.769551078621726
scheme_3_inact,2,kon_1,Log10,16.8,1.225309281725863
scheme_3_inact,3,koff_1,Log10,175,2.243038048686294
scheme_3_inact,4,kon_2,Log10,8.42,0.9253120914996495
scheme_3_inact,5,koff_2,Log10,4541,3.657151501900967
scheme_3_inact,6,gating_on_0,Log10,24.08,1.381656482585787
scheme_3_inact,7,gating_off_0,Log10,29,1.462397997898956
scheme_3_inact,8,gating_on_1,Log10,3198,3.504878459410216
scheme_3_inact,9,gating_off_1,Log10,1189,3.075181854618692
scheme_3_inact,10,desensitization_on_0,Log10,0.298,-0.5257837359237448
scheme_3_inact,11,desensitization_off_0,Log10,1936,3.286905352972375
scheme_3_inact,12,desensitization_on_1,Log10,59000000,7.770852011642144
scheme_3_inact,13,unitary_current,Log10,1,0
scheme_3_inact,14,Current_Noise,Log10,0.001,-3
scheme_3_inact,15,Pink_Noise,Log10,5.00000000000000089,0.698970004336018857,2
scheme_3_inact,16,Proportional_Noise,Fixed,0,0,0
scheme_3_inact,17,Current_Baseline,Log10,1,0
scheme_3_inact,18,Num_ch_mean,Log10,5000,3.698970004336019
scheme_3_inact,19,inactivation_rate,Log10,1e-05,-5
