model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_12_inact,0,Binding_on,Log10,10,1,2
scheme_12_inact,1,Binding_off,Log10,100,2,2
scheme_12_inact,2,Rocking_on,Log10,100,2,2
scheme_12_inact,3,Rocking_off,Log10,100,2,2
scheme_12_inact,4,Gating_on,Log10,100,2,2
scheme_12_inact,5,Gating_off,Log10,100,2,2
scheme_12_inact,6,RBR,Log10,10,1,2
scheme_12_inact,7,RBR_0,Log10,1,0,2
scheme_12_inact,8,RBR_1,Log10,1,0,2
scheme_12_inact,9,RBR_2,Log10,1,0,2
scheme_12_inact,10,RG,Log10,100,2,2
scheme_12_inact,11,RG_0,Log10,10,1,2
scheme_12_inact,12,RG_1,Log10,10,1,2
scheme_12_inact,13,Gating_Current,Log10,1,0,2
scheme_12_inact,14,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_12_inact,15,Pink_Noise,Log10,5.00000000000000089,0.698970004336018857,2
scheme_12_inact,16,Proportional_Noise,Log10,0.0100000000000000002,-2,2
scheme_12_inact,17,Current_Baseline,Log10,1,0,2
scheme_12_inact,18,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
scheme_12_inact,19,inactivation_rate,Log10,1.00000000000000008e-05,-5,2
