model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_4_inact,0,kon_0,Log10,10,1,2
scheme_4_inact,1,koff_0,Log10,100,2,2
scheme_4_inact,2,kon_1,Log10,10,1,2
scheme_4_inact,3,koff_1,Log10,100,2,2
scheme_4_inact,4,kon_2,Log10,10,1,2
scheme_4_inact,5,koff_2,Log10,100,2,2
scheme_4_inact,6,flipping_on,Log10,100,2,2
scheme_4_inact,7,flipping_off,Log10,100,2,2
scheme_4_inact,8,gating_on_0,Log10,10,1,2
scheme_4_inact,9,gating_off_0,Log10,10,1,2
scheme_4_inact,10,gating_on_1,Log10,1000,3,2
scheme_4_inact,11,gating_off_1,Log10,1000,3,2
scheme_4_inact,12,desensitization_on_0,Log10,100,2,2
scheme_4_inact,13,desensitization_off_0,Log10,100,2,2
scheme_4_inact,14,desensitization_on_1,Log10,100,2,2
scheme_4_inact,15,unitary_current,Log10,1,0,2
scheme_4_inact,16,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_4_inact,17,Pink_Noise,Fixed,0,0,0
scheme_4_inact,18,Proportional_Noise,Fixed,0,0,0
scheme_4_inact,19,Current_Baseline,Log10,1,0,2
scheme_4_inact,20,Num_ch_mean,Log10,4999.99999999999909,3.69897000433601875,2
scheme_4_inact,21,inactivation_rate,Log10,1.00000000000000008e-05,-5,2
