model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_5,0,Binding_on,Log10,10,1,2
scheme_5,1,Binding_off,Log10,100,2,2
scheme_5,2,Gating_on,Log10,100,2,2
scheme_5,3,Gating_off,Log10,100,2,2
scheme_5,4,BG,Log10,100,2,2
scheme_5,5,BG_0,Log10,10,1,2
scheme_5,6,BG_1,Log10,10,1,2
scheme_5,7,Gating_Current,Log10,1,0,2
scheme_5,8,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_5,9,Pink_Noise,Log10,5.00000000000000089,0.698970004336018857,2
scheme_5,10,Proportional_Noise,Log10,0.0100000000000000002,-2,2
scheme_5,11,Current_Baseline,Log10,1,0,2
scheme_5,12,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
