model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_11_inact,0,Binding_on,Log10,10,1,2
scheme_11_inact,1,Binding_off,Log10,100,2,2
scheme_11_inact,2,Rocking_on,Log10,100,2,2
scheme_11_inact,3,Rocking_off,Log10,100,2,2
scheme_11_inact,4,RB,Log10,100,2,2
scheme_11_inact,5,RB_0,Log10,1,0,2
scheme_11_inact,6,RB_1,Log10,1,0,2
scheme_11_inact,7,BR,Log10,10,1,2
scheme_11_inact,8,BR_0,Log10,1,0,2
scheme_11_inact,9,BR_1,Log10,1,0,2
scheme_11_inact,10,RBR,Log10,1,0,2
scheme_11_inact,11,RBR_0,Log10,1,0,2
scheme_11_inact,12,RBR_1,Log10,1,0,2
scheme_11_inact,13,RBR_2,Log10,1,0,2
scheme_11_inact,14,Rocking_Current_factor,Log10,10,1,2
scheme_11_inact,15,Leakeage_current_ratio,Log10,9.99999999999999955e-07,-6,2
scheme_11_inact,16,Gating_Current,Log10,1,0,2
scheme_11_inact,17,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_11_inact,18,Pink_Noise,Log10,5.00000000000000089,0.698970004336018857,2
scheme_11_inact,19,Proportional_Noise,Log10,0.0100000000000000002,-2,2
scheme_11_inact,20,Current_Baseline,Log10,1,0,2
scheme_11_inact,21,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
scheme_11_inact,22,inactivation_rate,Log10,1.00000000000000008e-05,-5,2
