model_name,i_par,parameter_name,moment,value
scheme_3,0,kon_0,mean,1.255272505103306
scheme_3,1,koff_0,mean,-1.769551078621726
scheme_3,2,kon_1,mean,1.225309281725863
scheme_3,3,koff_1,mean,2.243038048686294
scheme_3,4,kon_2,mean,0.9253120914996495
scheme_3,5,koff_2,mean,3.657151501900967
scheme_3,6,gating_on_0,mean,1.381656482585787
scheme_3,7,gating_off_0,mean,1.462397997898956
scheme_3,8,gating_on_1,mean,3.504878459410216
scheme_3,9,gating_off_1,mean,3.075181854618692
scheme_3,10,desensitization_on_0,mean,-0.5257837359237448
scheme_3,11,desensitization_off_0,mean,3.286905352972375
scheme_3,12,desensitization_on_1,mean,7.770852011642144
scheme_3,13,unitary_current,mean,0
scheme_3,14,Current_Noise,mean,-3
scheme_3,15,Pink_Noise,mean,0.6989700043360189
scheme_3,16,Proportional_Noise,mean,-2
scheme_3,17,Current_Baseline,mean,0
scheme_3,18,Num_ch_mean,mean,3.698970004336019
